INSTANCE	Status MtMS	Cost SOC MtMS	Time SOC MtMS	Status ASP Base E	Cost SOC Status ASP Base E	Time SOC ASP Base E	Status Base F	Cost SOC Base F	Time SOC Base F	Status CBS	Cost SOC CBS	Time SOC CBS	Status BCP	Cost SOC BCP	Time SOC BCP
Instance-20-10-28-7_enc1	0	464	1,32	0	464	6,01528763771057	0	464	5,45952105522156	0	464	0,035413	0	464	0,01
Instance-20-10-28-8_enc1	0	391	1,16	0	391	5,61385011672974	0	391	5,61158871650696	0	391	0,037856	0	391	0,02
Instance-20-10-28-9_enc1	0	355	1,27	0	355	5,46370959281921	0	355	5,13584780693054	0	355	0,035787	0	355	0,02
Instance-20-10-30-0_enc1	0	465	1,94	0	465	12,3613126277924	0	465	7,33245182037354	0	465	0,071478	0	465	0,01
Instance-20-10-30-1_enc1	0	389	0,63	0	389	2,10778903961182	0	389	2,38617587089539	0	389	0,040241	0	389	0,02
Instance-20-10-30-2_enc1	0	414	0,42	0	414	1,39038467407227	0	414	1,77437591552734	0	414	0,007837	0	414	0,01
Instance-20-10-30-3_enc1	0	429	1,58	0	429	5,26416730880737	0	429	5,13784837722778	0	429	0,134644	0	429	0,04
Instance-20-10-30-4_enc1	0	422	0,84	0	422	3,1146936416626	0	422	3,25410985946655	0	422	0,024604	0	422	0,07
Instance-20-10-30-5_enc1	0	367	0,58	0	367	2,10508823394775	0	367	2,49967861175537	0	367	0,032779	0	367	0
Instance-20-10-30-6_enc1	0	369	1,4	0	369	5,15793395042419	0	369	5,1347553730011	0	369	0,036702	0	369	0,01
Instance-20-10-30-7_enc1	0	456	1,47	0	456	7,13586568832397	0	456	5,07032251358032	0	456	0,469183	0	456	0,03
Instance-20-10-30-8_enc1	0	377	1,16	0	377	5,60650420188904	0	377	4,52164340019226	0	377	0,068532	0	377	0,04
Instance-20-10-30-9_enc1	0	375	1,1	0	375	4,2547390460968	0	375	3,85782885551453	0	375	0,024858	0	375	0,03
Instance-20-10-32-0_enc1	0	417	0,78	0	417	2,57944941520691	0	417	2,34000873565674	0	417	0,034506	0	417	0,02
Instance-20-10-32-1_enc1	0	453	1,59	0	453	5,7758572101593	0	453	5,06969451904297	0	453	0,028142	0	453	0,02
Instance-20-10-32-2_enc1	0	487	2,62	0	487	11,3344991207123	0	487	7,38494110107422	0	487	32,513	0	487	0,12
Instance-20-10-32-3_enc1	0	438	1,12	0	438	4,64676070213318	0	438	4,37590718269348	0	438	0,138114	0	438	0,03
Instance-20-10-32-4_enc1	0	422	0,98	0	422	3,72962927818298	0	422	3,63477206230164	0	422	0,106583	0	422	0,02
Instance-20-10-32-5_enc1	0	357	1,2	0	357	4,49419808387756	0	357	4,43090796470642	0	357	0,030671	0	357	0,02
Instance-20-10-32-6_enc1	0	427	1,37	0	427	5,50697612762451	0	427	4,87439870834351	0	427	0,029926	0	427	0,09
Instance-20-10-32-7_enc1	0	421	3,08	0	421	13,7367730140686	0	421	12,403030872345	0	421	0,038379	0	421	0,02
Instance-20-10-32-8_enc1	0	436	1,4	0	436	5,82779765129089	0	436	4,73269581794739	0	436	0,034377	0	436	0,05
Instance-20-10-32-9_enc1	0	470	1,43	0	470	8,89240789413452	0	470	5,24810123443604	0	470	7,64362	0	470	0,12
Instance-20-10-34-0_enc1	0	428	2,01	0	428	9,42009019851685	0	428	6,46354842185974	0	428	128,035	0	428	0,1
Instance-20-10-34-1_enc1	0	543	1,72	0	543	7,5555739402771	0	543	5,91293549537659	0	543	1,21423	0	543	0,04
Instance-20-10-34-2_enc1	0	482	2,23	0	482	9,44032001495361	0	482	7,39052581787109	0	482	1,73814	0	482	0,06
Instance-20-10-34-3_enc1	0	475	1,16	0	475	4,48240637779236	0	475	4,2200927734375	0	475	0,031676	0	475	0,02
Instance-20-10-34-4_enc1	0	428	1,27	0	428	5,08384609222412	0	428	4,89255857467651	0	428	0,028066	0	428	0,05
Instance-20-10-34-5_enc1	0	462	1,06	0	462	4,72752499580383	0	462	4,41171050071716	0	462	0,319353	0	462	0,05
Instance-20-10-34-6_enc1	0	425	1,38	0	425	6,52806067466736	0	425	4,98050379753113	0	425	2,78501	0	425	0,03
Instance-20-10-34-7_enc1	0	522	2,43	0	522	9,34291291236877	0	522	6,64598345756531	0	522	16,1702	0	522	0,16
Instance-20-10-34-8_enc1	0	480	1,83	0	480	10,1383488178253	0	480	6,1055850982666	0	480	0,053925	0	480	0,05
Instance-20-10-34-9_enc1	0	448	1,48	0	448	7,16621661186218	0	448	5,46139335632324	0	448	1,88807	0	448	0,05
Instance-20-10-36-0_enc1	0	515	2,57	0	515	23,2864730358124	0	515	8,99993491172791	0	515	118,297	0	515	0,11
Instance-20-10-36-1_enc1	0	530	1,75	0	530	9,93121600151062	0	530	7,22578048706055	0	530	0,255606	0	529,999999999845	0,24
Instance-20-10-36-2_enc1	0	442	2,15	0	442	10,0710430145264	0	442	7,29219675064087	0	442	8,04127	0	442	0,06
Instance-20-10-36-3_enc1	0	498	1,03	0	498	4,23739290237427	0	498	3,99193239212036	0	498	0,088443	0	498	0,02
Instance-20-10-36-4_enc1	0	468	0,92	0	468	4,07521724700928	0	468	3,30709767341614	0	468	0,117861	0	468	0,02
Instance-20-10-36-5_enc1	0	495	1,27	0	495	5,77077269554138	0	495	4,55420589447021	0	495	13,0372	0	495	0,07
Instance-20-10-36-6_enc1	0	467	1,46	0	467	16,2977085113525	0	467	5,12761044502258	0	467	24,164	0	467	1,39
Instance-20-10-36-7_enc1	0	475	2,53	0	475	10,1738195419312	0	475	8,55418062210083	0	475	0,191236	0	475	0,07
Instance-20-10-36-8_enc1	0	494	0,9	0	494	3,68334150314331	0	494	3,16354775428772	0	494	0,033267	0	494	0,03
Instance-20-10-36-9_enc1	0	529	1,95	0	529	11,6758408546448	0	529	8,24573469161987	0	529	15,9412	0	529	0,3
Instance-20-10-38-0_enc1	0	452	0,59	0	452	3,13181376457214	0	452	2,94393706321716	0	452	0,018856	0	452	0,02
Instance-20-10-38-1_enc1	0	522	0,67	0	522	2,74171233177185	0	522	2,87476825714111	0	522	0,018827	0	522	0,01
Instance-20-10-38-2_enc1	0	504	1,05	0	504	3,87699937820435	0	504	3,99897789955139	0	504	0,08436	0	504	0,07
Instance-20-10-38-3_enc1	0	544	1,01	0	544	4,60921883583069	0	544	4,04538059234619	0	544	0,074416	0	544	0,04
Instance-20-10-38-4_enc1	0	536	3,01	0	536	14,2187554836273	0	536	8,38336062431335	0	536	115,497	0	536	0,29
Instance-20-10-38-5_enc1	0	510	4	0	510	50,4812648296356	0	510	11,2366268634796	0	510	0,524664	0	510	0,11
Instance-20-10-38-6_enc1	0	500	2,57	0	500	8,96316742897034	0	500	8,22202110290527	0	500	0,088251	0	500	0,02
Instance-20-10-38-7_enc1	0	504	2,02	0	504	7,60574531555176	0	504	6,66747760772705	0	504	0,276915	0	504	0,1
Instance-20-10-38-8_enc1	0	538	2,57	0	538	13,070479631424	0	538	8,89324617385864	0	538	0,551073	0	538	0,13
Instance-20-10-38-9_enc1	0	543	0,4	0	543	1,98624587059021	0	543	2,0593478679657	0	543	0,069245	0	543	0,06
Instance-20-10-40-0_enc1	0	443	3,1	0	443	18,1352691650391	0	443	11,4899761676788	0	443	73,0454	0	443	0,1
Instance-20-10-40-1_enc1	0	561	1,61	0	561	9,53865170478821	0	561	5,93368816375732	0	561	0,076187	0	561	0,06
Instance-20-10-40-2_enc1	0	528	2,01	0	528	10,3203914165497	0	528	6,39693331718445	0	528	0,436074	0	528	0,09
Instance-20-10-40-3_enc1	0	572	2,32	0	572	9,62942361831665	0	572	8,22988080978394	0	572	22,8259	0	572	0,08
Instance-20-10-40-4_enc1	0	524	1,93	0	524	10,7364566326141	0	524	6,37218141555786	0	524	14,4292	0	524	0,06
Instance-20-10-40-5_enc1	0	554	1,56	0	554	6,46681642532349	0	554	5,42411398887634	0	554	0,134335	0	554	0,03
Instance-20-10-40-6_enc1	0	481	1,12	0	481	5,07189130783081	0	481	4,20279288291931	0	481	0,292846	0	481	0,05
Instance-20-10-40-7_enc1	0	569	1,76	0	569	7,32404947280884	0	569	5,50479960441589	0	569	0,325427	0	569	0,04
Instance-20-10-40-8_enc1	0	548	2,18	0	548	8,93998312950134	0	548	7,51039481163025	0	548	0,507175	0	548	0,15
Instance-20-10-40-9_enc1	0	481	1,46	0	481	7,00008869171143	0	481	5,21688723564148	0	481	0,349484	0	481	0,04
Instance-20-10-42-0_enc1	0	618	7,29	0	618	36,4493570327759	0	618	16,8434827327728	3	-1	600	0	618	0,86
Instance-20-10-42-1_enc1	0	579	2,75	0	579	13,0910155773163	0	579	9,9497537612915	0	579	4,35901	0	579	0,11
Instance-20-10-42-2_enc1	0	664	10,68	0	664	96,2641396522522	0	664	16,1375155448914	3	-1	600	0	664	1,02
Instance-20-10-42-3_enc1	0	502	1,45	0	502	5,97177147865295	0	502	5,96046304702759	0	502	0,480582	0	502	0,25
Instance-20-10-42-4_enc1	0	546	2,82	0	546	12,6328959465027	0	546	10,4215407371521	0	546	0,921893	0	546	0,04
Instance-20-10-42-5_enc1	0	530	1,56	0	530	6,93240737915039	0	530	5,52597045898438	0	530	1,38736	0	530	0,16
Instance-20-10-42-6_enc1	0	632	3,09	0	632	19,6542220115662	0	632	10,1326451301575	0	632	10,84	0	632	0,19
Instance-20-10-42-7_enc1	0	546	4,49	0	546	23,8335115909576	0	546	11,7497463226318	0	546	119,158	0	546	0,57
Instance-20-10-42-8_enc1	0	521	1,04	0	521	5,16967439651489	0	521	4,26505160331726	0	521	0,050678	0	521	0,04
Instance-20-10-42-9_enc1	0	539	4,39	0	539	16,9022006988525	0	539	10,8945376873016	0	539	298,861	0	539	1,46
Instance-20-10-44-0_enc1	0	617	2,88	0	617	24,9382319450378	0	617	8,5362560749054	0	617	188,53	0	617	0,19
Instance-20-10-44-1_enc1	0	663	1,55	0	663	14,0068581104279	0	663	5,97321367263794	0	663	0,08544	0	663	0,07
Instance-20-10-44-2_enc1	0	600	4,28	0	600	29,1099059581757	0	600	12,9946393966675	3	-1	600	0	600	0,49
Instance-20-10-44-3_enc1	0	611	3,49	0	611	13,0584480762482	0	611	11,5757057666779	0	611	57,7354	0	611	0,06
Instance-20-10-44-4_enc1	0	635	1,61	0	635	6,35810875892639	0	635	5,22040557861328	0	635	0,152203	0	635	0,05
Instance-20-10-44-5_enc1	0	638	2,26	0	638	8,94114112854004	0	638	8,15200328826904	0	638	0,290966	0	638	0,12
Instance-20-10-44-6_enc1	0	636	0,93	0	636	4,02205419540405	0	636	3,51891088485718	0	636	0,89218	0	636	0,06
Instance-20-10-44-7_enc1	0	674	2,43	0	674	9,82563209533691	0	674	7,30908179283142	0	674	0,345881	0	674	0,16
Instance-20-10-44-8_enc1	0	581	4,92	0	581	22,7537186145782	0	581	11,0909450054169	0	582	64,7383	0	581	0,26
Instance-20-10-44-9_enc1	0	554	11,23	0	554	37,401017665863	0	554	14,6026997566223	3	-1	600	0	554	0,27
Instance-20-10-46-0_enc1	0	659	17,98	0	659	540,029560565948	0	659	23,1806960105896	3	-1	600	0	659	7,25
Instance-20-10-46-1_enc1	0	630	4,07	0	630	21,0965468883514	0	630	13,7164232730865	0	630	0,8547	0	630	0,08
Instance-20-10-46-2_enc1	0	687	2,71	0	687	13,0798060894012	0	687	9,92924189567566	0	687	0,701007	0	687	0,35
Instance-20-10-46-3_enc1	0	646	1,5	0	646	6,25224137306213	0	646	5,68929100036621	0	646	0,306269	0	646	0,14
Instance-20-10-46-4_enc1	0	685	23,04	1	685	600	0	685	16,6526250839233	0	685	339	0	685	1,17
Instance-20-10-46-5_enc1	0	675	5,4	0	675	239,0060338974	0	675	13,0425515174866	3	-1	600	0	675	1,83
Instance-20-10-46-6_enc1	0	619	5,72	0	619	26,0869970321655	0	619	14,4458823204041	0	619	55,6454	0	619	0,25
Instance-20-10-46-7_enc1	0	653	9,59	0	653	28,1890051364899	0	653	16,461268901825	0	653	85,0897	0	653	0,73
Instance-20-10-46-8_enc1	0	575	3,88	0	575	15,778030872345	0	575	13,4319863319397	0	575	31,9635	0	575	0,24
Instance-20-10-46-9_enc1	0	624	1,96	0	624	14,8362894058228	0	624	6,98094439506531	0	624	4,17074	0	624	0,67
Instance-20-10-48-0_enc1	0	700	9,02	1	717	600	0	700	25,6001608371735	3	-1	600	0	700	1,06
Instance-20-10-48-1_enc1	0	648	7,13	1	648	600	0	648	17,9987077713013	0	648	37,6817	0	648	0,3
Instance-20-10-48-2_enc1	0	680	3,75	0	680	36,4889802932739	0	680	11,4676213264465	3	-1	600	0	680	1,5
Instance-20-10-48-3_enc1	0	673	2,64	0	673	10,5899438858032	0	673	8,5754668712616	0	673	28,8047	0	673	0,19
Instance-20-10-48-4_enc1	0	638	3,66	0	638	16,225640296936	0	638	11,8622844219208	0	638	35,1987	0	638	0,42
Instance-20-10-48-5_enc1	0	691	7,45	0	691	41,9388856887817	0	691	14,160432100296	3	-1	600	0	691	2,08
Instance-20-10-48-6_enc1	0	699	4,67	0	699	40,5249123573303	0	699	12,9360475540161	0	699	0,432734	0	699	0,25
Instance-20-10-48-7_enc1	0	647	3,49	0	647	13,6955637931824	0	647	10,7466740608215	0	647	6,15954	0	647	0,31
